labels,source,path
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-01-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-02-02.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-02-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-01-03.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-03-02-02-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-02-01-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-01-01-02-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-05-01-02-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-01-02-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-02-01-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-02-02-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-01-01-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-01-01-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-05-01-01-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-05-02-02-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-06-02-02-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-01-02-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-07-01-02-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-07-02-01-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-02-01-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-02-01-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-08-01-02-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-02-01-01-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-07-02-02-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-02-02-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-04-01-01-01-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-07-01-01-02-04.wav
speech,RAVDESS,datasets/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_04/03-01-05-02-01-02-04.wav
